time,feedback_position_x,feedback_position_y,feedback_position_z,setpoint_speed_z,setpoint_speed_y,setpoint_speed_z
4.770354395,448.41119384765625,457.0474853515625,493.3411560058594,0,-200,0
4.774061377,448.3985900878906,456.2347106933594,493.3392639160156,0,-200,0
4.778298445,448.3847351074219,455.4256896972656,493.3460693359375,0,-200,0
4.782341788,448.3699645996094,454.619140625,493.3515319824219,0,-200,0
4.786172025,448.3591613769531,453.8070373535156,493.3550109863281,0,-200,0
4.790447536,448.3498840332031,452.9976501464844,493.3660888671875,0,-200,0
4.794267931,448.3377380371094,452.1894836425781,493.37359619140625,0,-200,0
4.798276497,448.3249816894531,451.3787841796875,493.3728942871094,0,-200,0
4.802421217,448.309814453125,450.5731201171875,493.3697509765625,0,-200,0
4.806382546,448.29681396484375,449.7650451660156,493.3706970214844,0,-200,0
4.810435716,448.2801818847656,448.95745849609375,493.3662109375,0,-200,0
4.814554381,448.2633972167969,448.1536560058594,493.3549499511719,0,-200,0
4.818476496,448.2433166503906,447.3505859375,493.3352966308594,0,-200,0
4.822426128,448.22607421875,446.5449523925781,493.3227844238281,0,-200,0
4.826641817,448.2049560546875,445.7403259277344,493.3122253417969,0,-200,0
4.830743734,448.1862487792969,444.9352111816406,493.30169677734375,0,-200,0
4.83454882,448.17144775390625,444.1337890625,493.2933044433594,0,-200,0
4.838806973,448.1475830078125,443.3291015625,493.2718505859375,0,-200,0
4.842732881,448.1279296875,442.5264587402344,493.2537536621094,0,-200,0
4.846663059,448.1103210449219,441.7223205566406,493.2493896484375,0,-200,0
4.850914306,448.09381103515625,440.91473388671875,493.24444580078125,0,-200,0
4.854801371,448.08074951171875,440.1044921875,493.24566650390625,0,-200,0
4.858755983,448.0693359375,439.2972106933594,493.25079345703125,0,-200,0
4.862963844,448.0533142089844,438.4910888671875,493.2481994628906,0,-200,0
4.866882161,448.0425720214844,437.68408203125,493.25299072265625,0,-200,0
4.871133359,448.0284729003906,436.87353515625,493.2587585449219,0,-200,0
4.87506535,448.01446533203125,436.06707763671875,493.2615966796875,0,-200,0
4.879127207,448.0009765625,435.2633361816406,493.2642517089844,0,-200,0
4.882932985,447.9876403808594,434.45758056640625,493.2680358886719,0,-200,0
4.886966439,447.9775695800781,433.6454772949219,493.2672119140625,0,-200,0
4.89113272,447.9695739746094,432.8377685546875,493.2702941894531,0,-200,0
4.895027521,447.9510498046875,432.0341796875,493.2603454589844,0,-200,0
4.899251159,447.9279479980469,431.23291015625,493.24932861328125,0,-200,0
4.903176409,447.90887451171875,430.4382629394531,493.248046875,0,-200,0
4.907146672,447.8880615234375,429.6342468261719,493.2329406738281,0,-200,0
4.911426872,447.86737060546875,428.82733154296875,493.21221923828125,0,-200,0
4.915218803,447.8519592285156,428.02239990234375,493.2015686035156,0,-200,0
4.919226548,447.8315124511719,427.2218017578125,493.19500732421875,0,-200,0
4.923404908,447.8085021972656,426.4165344238281,493.1813049316406,0,-200,0
4.927466554,447.79168701171875,425.6145935058594,493.17706298828125,0,-200,0
4.931364941,447.777587890625,424.8084411621094,493.1661682128906,0,-200,0
4.935513881,447.76080322265625,423.9996032714844,493.15325927734375,0,-200,0
4.939428635,447.748779296875,423.195068359375,493.1487731933594,0,-200,0
4.943365702,447.736083984375,422.3856506347656,493.1512451171875,0,-200,0
4.947660617,447.7203674316406,421.5757141113281,493.1541442871094,0,-200,0
4.951593105,447.7093811035156,420.7699890136719,493.1593017578125,0,-200,0
4.955506748,447.6981506347656,419.9615783691406,493.1629333496094,0,-200,0
4.959712393,447.685546875,419.1500244140625,493.1648254394531,0,-200,0
4.963600971,447.67657470703125,418.34576416015625,493.1725769042969,0,-200,0
